,Product,Date,MERGE,SNOW%,LAND %,SEA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
0,H13,20121128,1,15.017439492926826,32.65877020590995,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
1,H13,20121129,1,15.437049627308298,32.23916007152848,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
2,H13,20121130,1,15.826561144455653,31.849648554381123,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
3,H13,20121201,1,15.789380499637048,31.886829199199727,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
4,H13,20121202,1,16.005382340964218,31.67082735787256,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
5,H13,20121203,1,16.003611834068096,31.672597864768683,52.32379030116322,56481,0.0,0.0,0.0,0.0,55.0
6,H13,20121204,1,15.964660682353355,31.71154901648342,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
7,H13,20121205,1,15.9752837237301,31.700925975106674,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
8,H13,20121206,1,16.05318602715957,31.623023671677203,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
9,H13,20121207,1,16.05318602715957,31.623023671677203,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
10,H13,20121208,0,16.05318602715957,31.623023671677203,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
11,H13,20121209,0,16.05318602715957,31.623023671677203,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
12,H13,20121210,1,15.973513216833979,31.702696482002796,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
13,H13,20121211,1,16.139940865069676,31.536268833767107,52.32379030116322,56481,0.0,0.0,0.0,0.0,6.0
14,H13,20121212,0,16.139940865069676,31.536268833767107,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
15,H13,20121213,0,16.139940865069676,31.536268833767107,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
16,H13,20121214,0,16.139940865069676,31.536268833767107,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
17,H13,20121215,0,16.139940865069676,31.536268833767107,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
18,H13,20121216,0,16.139940865069676,31.536268833767107,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
19,H13,20121217,1,15.833643172040155,31.842566526796624,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
20,H13,20121218,1,16.201908606434017,31.474301092402758,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
21,H13,20121219,1,16.502894778775158,31.173314920061614,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
22,H13,20121220,0,16.502894778775158,31.173314920061614,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
23,H13,20121221,1,16.7383721959597,30.937837502877073,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
24,H13,20121222,1,16.906570351091517,30.769639347745258,52.32379030116322,56481,0.0,0.0,0.0,0.0,5.0
25,H13,20121223,1,16.998636709689976,30.677572989146796,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
26,H13,20121224,1,17.09778509587295,30.57842460296383,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
27,H13,20121225,0,17.09778509587295,30.57842460296383,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
28,H13,20121226,1,17.52978877852729,30.146420920309485,52.32379030116322,56481,83.0,55.0,0.0,0.0,0.0
29,H13,20121227,1,17.694445919866865,29.981763778969917,52.32379030116322,56481,107.0,82.0,0.0,0.0,2.0
30,H13,20121228,1,17.710380481931978,29.965829216904798,52.32379030116322,56481,137.0,97.0,0.0,0.0,5.0
31,H13,20121229,1,17.63247817850251,30.043731520334273,52.32379030116322,56481,107.0,110.0,0.0,0.0,4.0
32,H13,20121230,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
33,H13,20121231,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
34,H13,20130101,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
35,H13,20130102,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
36,H13,20130103,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
37,H13,20130104,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
38,H13,20130105,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
